Population,Month,Year,Monthly_mean_min,Monthly_mean_max
AZ,March,2014,10.22222222,25.83333333
AZ,March,2015,11.27777778,26.77777778
AZ,March,2016,9.944444444,26.77777778
AZ,March,2017,11.33333333,28.5
AZ,March,2018,9.388888889,25
AZ,March,2019,8.777777778,24.27777778
AZ,March,2020,9.333333333,22.77777778
AZ,March,2021,7.944444444,23.94444444
AZ,March,2022,7.833333333,25.11111111
AZ,March,2023,7.944444444,22.11111111
AZ,April,2014,12.38888889,29
AZ,April,2015,12.33333333,28.83333333
AZ,April,2016,12.38888889,28.27777778
AZ,April,2017,13,30.44444444
AZ,April,2018,13.77777778,31.33333333
AZ,April,2019,12.27777778,29.16666667
AZ,April,2020,12.27777778,29.5
AZ,April,2021,14.22222222,30.11111111
AZ,April,2022,12.83333333,31.38888889
AZ,April,2023,11.72222222,30.44444444
AZ,May,2014,16.94444444,33.38888889
AZ,May,2015,15.05555556,30.94444444
AZ,May,2016,15.88888889,32
AZ,May,2017,16.5,33.05555556
AZ,May,2018,17,34.72222222
AZ,May,2019,13.83333333,29.33333333
AZ,May,2020,18.16666667,35.94444444
AZ,May,2021,16.94444444,34.44444444
AZ,May,2022,17.22222222,35.55555556
AZ,May,2023,16.83333333,33.44444444
AZ,June,2014,23.38888889,39.88888889
AZ,June,2015,23.44444444,39.38888889
AZ,June,2016,23.38888889,39.27777778
AZ,June,2017,23.38888889,40.72222222
AZ,June,2018,21.94444444,38.88888889
AZ,June,2019,20.88888889,38.22222222
AZ,June,2020,21.44444444,39
AZ,June,2021,23.88888889,40.33333333
AZ,June,2022,24.38888889,39.05555556
AZ,June,2023,20.5,37.88888889
AZ,July,2014,24.77777778,37.77777778
AZ,July,2015,24.61111111,36.83333333
AZ,July,2016,25.55555556,39.16666667
AZ,July,2017,24.27777778,37.38888889
AZ,July,2018,25.11111111,38.16666667
AZ,July,2019,25.05555556,39.77777778
AZ,July,2020,26.11111111,40
AZ,July,2021,23.61111111,36.22222222
AZ,July,2022,25.55555556,38.94444444
AZ,July,2023,26.66666667,42.44444444
AZ,August,2014,23.33333333,35.72222222
AZ,August,2015,24.77777778,38.55555556
AZ,August,2016,23.38888889,35.94444444
AZ,August,2017,23.77777778,37.33333333
AZ,August,2018,23.88888889,36.66666667
AZ,August,2019,24.77777778,38.83333333
AZ,August,2020,25.94444444,40.66666667
AZ,August,2021,23.55555556,36.11111111
AZ,August,2022,23.55555556,36.22222222
AZ,August,2023,25.33333333,38.94444444
AZ,September,2014,22.33333333,34.11111111
AZ,September,2015,22.05555556,34.38888889
AZ,September,2016,20.33333333,33.72222222
AZ,September,2017,20.77777778,35.83333333
AZ,September,2018,22.38888889,36.38888889
AZ,September,2019,21.22222222,34.61111111
AZ,September,2020,22.27777778,37.33333333
AZ,September,2021,21.16666667,35.5
AZ,September,2022,22.44444444,36.05555556
AZ,September,2023,22,37.61111111
AZ,October,2014,16.72222222,31.83333333
AZ,October,2015,16.61111111,29.61111111
AZ,October,2016,16.94444444,33.61111111
AZ,October,2017,16.72222222,33.61111111
AZ,October,2018,15,26.83333333
AZ,October,2019,13.66666667,30.22222222
AZ,October,2020,15.33333333,33.61111111
AZ,October,2021,13.11111111,30.27777778
AZ,October,2022,14.83333333,28.94444444
AZ,October,2023,16.94444444,32.55555556
AZ,November,2014,8.5,24.55555556
AZ,November,2015,7.166666667,22.94444444
AZ,November,2016,10.38888889,25.16666667
AZ,November,2017,12.33333333,28.94444444
AZ,November,2018,7.333333333,23.44444444
AZ,November,2019,10.72222222,24.61111111
AZ,November,2020,10,26.38888889
AZ,November,2021,10.72222222,28.11111111
AZ,November,2022,6.333333333,22.44444444
AZ,November,2023,11.11111111,25.66666667
CO,June,2014,10.33333333,27.66666667
CO,June,2015,12.11111111,28.22222222
CO,June,2016,12.5,30.22222222
CO,June,2017,11.33333333,29.44444444
CO,June,2018,12.05555556,30
CO,June,2019,9.777777778,26.38888889
CO,June,2020,11.72222222,29.72222222
CO,June,2021,12,29.55555556
CO,June,2022,11.44444444,28.88888889
CO,June,2023,10.22222222,24.5
CO,July,2014,14.38888889,30.22222222
CO,July,2015,13.16666667,29.38888889
CO,July,2016,14.33333333,32.27777778
CO,July,2017,14.44444444,32.11111111
CO,July,2018,13.77777778,31.16666667
CO,July,2019,14,31.61111111
CO,July,2020,14.33333333,32.05555556
CO,July,2021,14.27777778,31.22222222
CO,July,2022,15,32.66666667
CO,July,2023,14.05555556,31.05555556
CO,August,2014,12.83333333,28.44444444
CO,August,2015,13.33333333,30.94444444
CO,August,2016,12.77777778,29.83333333
CO,August,2017,12.33333333,28.72222222
CO,August,2018,12.77777778,30.44444444
CO,August,2019,14.27777778,32.11111111
CO,August,2020,13.94444444,32.88888889
CO,August,2021,13.44444444,31.11111111
CO,August,2022,14.61111111,30.66666667
CO,August,2023,13.88888889,30.44444444
CO,September,2014,9.5,25.77777778
CO,September,2015,10.77777778,29.33333333
CO,September,2016,9.222222222,27.33333333
CO,September,2017,9.666666667,25.33333333
CO,September,2018,10.33333333,28.22222222
CO,September,2019,10.38888889,29.33333333
CO,September,2020,9,27.33333333
CO,September,2021,10.72222222,28.72222222
CO,September,2022,10.5,28.38888889
CO,September,2023,9.777777778,27.27777778